session_id,source_sheet,volume_m,normalized_blocks,normalization_method,status
RKF-15-16-72,Treinos_15_16,6600,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-73,Treinos_15_16,6200,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-74,Treinos_15_16,6400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-75,Treinos_15_16,6000,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-76,Treinos_15_16,6400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-77,Treinos_15_16,5800,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-78,Treinos_15_16,6200,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-79,Treinos_15_16,6600,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-15-16-80,Treinos_15_16,6800,9,already_exact_or_explicit_zero,EXACT_910_READY
RKF-16-17-S01,Treinos_15_16,5200,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S02,Treinos_15_16,5000,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S03,Treinos_15_16,5200,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S04,Treinos_15_16,5000,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S05,Treinos_15_16,5200,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S06,Treinos_15_16,4800,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S07,Treinos_15_16,5400,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S08,Treinos_15_16,5100,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S09,Treinos_15_16,5200,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S10,Treinos_15_16,5000,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S11,Treinos_15_16,5000,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S12,Treinos_15_16,5200,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S13,Treinos_15_16,4600,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S14,Treinos_15_16,4600,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S15,Treinos_15_16,4800,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S16,Treinos_15_16,4800,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S17,Treinos_15_16,4800,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S18,Treinos_15_16,5000,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S19,Treinos_15_16,5200,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S20,Treinos_15_16,5000,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S21,Treinos_15_16,5200,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S22,Treinos_15_16,5000,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S23,Treinos_15_16,4800,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S24,Treinos_15_16,5000,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S25,Treinos_15_16,5200,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S26,Treinos_15_16,5400,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S27,Treinos_15_16,5200,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S28,Treinos_15_16,5600,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S29,Treinos_15_16,5000,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-S30,Treinos_15_16,5400,8,editorial_volume_distribution,EXACT_910_READY
RKF-16-17-EST-01,Treinos_16_17_Estilos,5200,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-16-17-EST-02,Treinos_16_17_Estilos,5400,8,already_exact_or_explicit_zero,EXACT_910_READY
